Carnet, Nombre, Telefono, Sede, Carrera, Mentor, Correo  
2021008450  , Percy Simmons Small  , 81618601  , CTCC  , Ingeniería en Biotecnología   , 0  , PSimmons@estudiantec.cr
2021009769  , Irene Barbara Hall  , 80434306  , CTCC  , Ingeniería en Biotecnología   , 0  , IBarbara@estudiantec.cr
2021015229  , Tanya Jones Turner  , 73705048  , CTLSC  , Administración de Empresas   , 0  , TJones@estudiantec.cr
2021019514  , Karen Hardnett Hoge  , 71942270  , CTLSC  , Administración de Empresas   , 0  , KHardnett@estudiantec.cr
2021015207  , Mary Winfield Jefferson  , 71228432  , CTLSC  , Ingeniería en Computación   , 0  , MWinfield@estudiantec.cr
2021012082  , Marion Hay Bridges  , 89591788  , CTLSC  , Ingeniería en Electrónica   , 0  , MHay@estudiantec.cr
2021028713  , Kimberly Davis Coleman  , 78205199  , CTLSJ  , Administración de Empresas   , 0  , KDavis@estudiantec.cr
2021025156  , Manda Kealy Summers  , 99175547  , CTLSJ  , Administración de Empresas   , 0  , MKealy@estudiantec.cr
2021029118  , Stephanie Mcgehee Fleming  , 65645493  , CTLSJ  , Administración de Empresas   , 0  , SMcgehee@estudiantec.cr
2021023814  , Richard Heuer Simmons  , 95272967  , CTLSJ  , Administración de Empresas   , 0  , RHeuer@estudiantec.cr
2021024316  , Scott Oldfield Fewell  , 80907562  , CTLSJ  , Administración de Empresas   , 0  , SOldfield@estudiantec.cr
2021026902  , Rose Joffrion Faust  , 82926400  , CTLSJ  , Administración de Empresas   , 0  , RJoffrion@estudiantec.cr
2021028256  , Madge Aldana Turley  , 63948799  , CTLSJ  , Administración de Empresas   , 0  , MAldana@estudiantec.cr
2021023360  , Mary Walsh Copenhaver  , 91466763  , CTLSJ  , Administración de Empresas   , 0  , MWalsh@estudiantec.cr
2021026908  , George Malkani Trapp  , 97123155  , CTLSJ  , Administración de Empresas   , 0  , GMalkani@estudiantec.cr
2021029200  , Michael West Whiting  , 84096658  , CTLSJ  , Administración de Empresas   , 0  , MWest@estudiantec.cr
