Carnet, Nombre, Telefono, Sede, Carrera, Mentor, Correo  
2021008929  , William Fritsch Dziuk  , 78550417  , CTCC  , Ingeniería Agrícola   , 0  , WFritsch@estudiantec.cr
2021008134  , Katrina Sheets Wooten  , 61549175  , CTCC  , Ingeniería Agronegocios   , 0  , KSheets@estudiantec.cr
2021014136  , Mary Walls Hull  , 78367069  , CTLSC  , Ingeniería en Computación   , 0  , MWalls@estudiantec.cr
2021014837  , Richard Cauterucci Gonzales  , 78646003  , CTLSC  , Ingeniería en Computación   , 0  , RCauterucci@estudiantec.cr
2021017332  , Jason Verdin Morgan  , 95355913  , CTLSC  , Ingeniería en Computación   , 0  , JVerdin@estudiantec.cr
2021017471  , Emily Overstreet Long  , 90874195  , CTLSC  , Ingeniería en Agronomía   , 0  , EOverstreet@estudiantec.cr
2021021657  , Dorothy Hansell Henderson  , 88329294  , CTLSJ  , Arquitectura y Urbanismo   , 0  , DHansell@estudiantec.cr
2021028893  , James Knight Parker  , 80194315  , CTLSJ  , Arquitectura y Urbanismo   , 0  , JKnight@estudiantec.cr
2021028652  , Gigi Oneil Johnson  , 70941591  , CTLSJ  , Arquitectura y Urbanismo   , 0  , GOneil@estudiantec.cr
2021028120  , Bruce Jones Page  , 66263084  , CTLSJ  , Ingeniería en Computación   , 0  , BJones@estudiantec.cr
2021021317  , Nona Ortiz Landfried  , 96066155  , CTLSJ  , Ingeniería en Computación   , 0  , NOrtiz@estudiantec.cr
2021020673  , Vernon Kirschner Miller  , 73223753  , CTLSJ  , Ingeniería en Computación   , 0  , VKirschner@estudiantec.cr
2021024509  , John Trotter Oneal  , 86616722  , CTLSJ  , Ingeniería en Computación   , 0  , JTrotter@estudiantec.cr
2021023484  , Danny Hunter Krause  , 69661249  , CTLSJ  , Ingeniería en Computación   , 0  , DHunter@estudiantec.cr
2021029506  , Alejandra Beveridge Woolverton  , 94884583  , CTLSJ  , Ingeniería en Computación   , 0  , ABeveridge@estudiantec.cr
