Carnet, Nombre, Telefono, Sede, Carrera, Mentor, Correo  
2021009323  , Dorothy Newcomb Birdsong  , 93218444  , CTCC  , Ingeniería en Computación   , 0  , DNewcomb@estudiantec.cr
2021005241  , Virginia Hudson Dejesus  , 93052136  , CTCC  , Ingeniería Agronegocios   , 0  , VHudson@estudiantec.cr
2021015513  , David Barkhimer Johnston  , 78407243  , CTLSC  , Ingeniería en Electrónica   , 0  , DBarkhimer@estudiantec.cr
2021017717  , Paulette Beach Christensen  , 72471119  , CTLSC  , Ingeniería en Agronomía   , 0  , PBeach@estudiantec.cr
2021011246  , Ricky Williams Corona  , 86839480  , CTLSC  , Ingeniería en Agronomía   , 0  , RWilliams@estudiantec.cr
2021016486  , John Crown Steen  , 80376924  , CTLSC  , Ingeniería en Producción Industrial   , 0  , JCrown@estudiantec.cr
2021029548  , Patricia Ellsworth Donahoe  , 93925473  , CTLSJ  , Arquitectura y Urbanismo   , 0  , PEllsworth@estudiantec.cr
2021023375  , Michele Morgan Bishop  , 80038096  , CTLSJ  , Arquitectura y Urbanismo   , 0  , MMorgan@estudiantec.cr
2021023033  , James Hurley Romero  , 81915379  , CTLSJ  , Arquitectura y Urbanismo   , 0  , JHurley@estudiantec.cr
2021028418  , Virginia Busk Campbell  , 75376753  , CTLSJ  , Administración de Empresas   , 0  , VBusk@estudiantec.cr
2021029544  , Marian Bowe Doherty  , 90246972  , CTLSJ  , Administración de Empresas   , 0  , MBowe@estudiantec.cr
2021028063  , Rodolfo Westbrooks Joyner  , 78638996  , CTLSJ  , Administración de Empresas   , 0  , RWestbrooks@estudiantec.cr
2021029572  , Hubert Sprung Smith  , 76255021  , CTLSJ  , Administración de Empresas   , 0  , HSprung@estudiantec.cr
2021021313  , Adam Shaw Mcclain  , 79407305  , CTLSJ  , Administración de Empresas   , 0  , AShaw@estudiantec.cr
2021022868  , Carol Chandler Myers  , 84318390  , CTLSJ  , Administración de Empresas   , 0  , CChandler@estudiantec.cr
2021027829  , Crystal Lowell Mccormack  , 71396735  , CTLSJ  , Administración de Empresas   , 0  , CLowell@estudiantec.cr
2021023099  , Irene Ruiz Fox  , 82475036  , CTLSJ  , Ingeniería en Computación   , 0  , IRuiz@estudiantec.cr
