Carnet, Nombre, Telefono, Sede, Carrera, Mentor, Correo  
2021006876  , Raymond Mangon Bergin  , 91460768  , CTCC  , Ingeniería en Biotecnología   , 0  , RMangon@estudiantec.cr
2021005064  , Jeri Selman Pyle  , 94779513  , CTCC  , Ingeniería Ambiental   , 0  , JSelman@estudiantec.cr
2021013171  , Carol Dean Zazula  , 97022093  , CTLSC  , Gestión en Turismo Rural Sostenible   , 0  , CDean@estudiantec.cr
2021014141  , Yolanda Pellerin Spannaus  , 85928447  , CTLSC  , Gestión en Turismo Rural Sostenible   , 0  , YPellerin@estudiantec.cr
2021019201  , Deidra Cooper Kersey  , 75782195  , CTLSC  , Ingeniería en Electrónica   , 0  , DCooper@estudiantec.cr
2021010061  , Lorena Salley Robbins  , 89832704  , CTLSC  , Ingeniería en Producción Industrial   , 0  , LSalley@estudiantec.cr
2021027528  , James Trogdon Dumbleton  , 74415745  , CTLSJ  , Arquitectura y Urbanismo   , 0  , JTrogdon@estudiantec.cr
2021026498  , Daniel Wiese Boyd  , 73529188  , CTLSJ  , Arquitectura y Urbanismo   , 0  , DWiese@estudiantec.cr
2021029704  , Katherine Nelson Burks  , 92760995  , CTLSJ  , Arquitectura y Urbanismo   , 0  , KNelson@estudiantec.cr
2021021901  , Victoria Worrell Center  , 68667560  , CTLSJ  , Arquitectura y Urbanismo   , 0  , VWorrell@estudiantec.cr
2021029554  , Wade Mcjunkin Wright  , 73230006  , CTLSJ  , Ingeniería en Computación   , 0  , WMcjunkin@estudiantec.cr
2021028436  , Kevin Brazelton Tracy  , 68179636  , CTLSJ  , Ingeniería en Computación   , 0  , KBrazelton@estudiantec.cr
2021020785  , Constance Williams Fox  , 88523398  , CTLSJ  , Ingeniería en Computación   , 0  , CWilliams@estudiantec.cr
2021028452  , Suzan Gibbons Hirst  , 92095575  , CTLSJ  , Ingeniería en Computación   , 0  , SGibbons@estudiantec.cr
2021027315  , Todd Price Collins  , 89185994  , CTLSJ  , Ingeniería en Computación   , 0  , TPrice@estudiantec.cr
2021020152  , Charles Matthews Battista  , 99222251  , CTLSJ  , Ingeniería en Computación   , 0  , CMatthews@estudiantec.cr
2021028417  , Sheila Christen Spice  , 62824195  , CTLSJ  , Ingeniería en Computación   , 0  , SChristen@estudiantec.cr
2021035630  , Antonio Scott Parks  , 93223883  , CAA  , Ingeniería en Computación   , 2021037174  , AScott@estudiantec.cr
2021039854  , Christopher French Bolender  , 67606679  , CAA  , Ingeniería en Computación   , 0  , CFrench@estudiantec.cr
2021032688  , Maryann Johnson Gates  , 64896716  , CAA  , Ingeniería en Computación   , 0  , MJohnson@estudiantec.cr
2021033832  , Juanita Roberts Caffrey  , 86684204  , CAA  , Ingeniería en Computación   , 0  , JRoberts@estudiantec.cr
2021038220  , Eric White Coughlin  , 81309020  , CAA  , Ingeniería en Computación   , 0  , EWhite@estudiantec.cr
2021030145  , Joshua Clawson Ames  , 64989146  , CAA  , Ingeniería en Computación   , 0  , JClawson@estudiantec.cr
