Carnet, Nombre, Telefono, Sede, Carrera, Mentor, Correo  
2021000716  , Rosa Brooks Watts  , 97027350  , CTCC  , Ingeniería en Biotecnología   , 0  , RBrooks@estudiantec.cr
2021002701  , Francis Witt Leggett  , 88121318  , CTCC  , Ingeniería Ambiental   , 0  , FWitt@estudiantec.cr
2021013133  , Matthew Dupuy Ripson  , 71416092  , CTLSC  , Ingeniería en Computación   , 0  , MDupuy@estudiantec.cr
2021017286  , Lilian Hicks Waller  , 64131562  , CTLSC  , Ingeniería en Computación   , 0  , LHicks@estudiantec.cr
2021013826  , Justin Roberts Raines  , 64881496  , CTLSC  , Ingeniería en Computación   , 0  , JRoberts@estudiantec.cr
2021013356  , Kyle Cervantes Harris  , 68048458  , CTLSC  , Ingeniería en Electrónica   , 0  , KCervantes@estudiantec.cr
2021028739  , Martha Woodard Ballard  , 79817528  , CTLSJ  , Arquitectura y Urbanismo   , 0  , MWoodard@estudiantec.cr
2021028478  , John Osofsky Sanchez  , 63683949  , CTLSJ  , Arquitectura y Urbanismo   , 0  , JOsofsky@estudiantec.cr
2021027849  , Warren Yi Neff  , 88398415  , CTLSJ  , Arquitectura y Urbanismo   , 0  , WYi@estudiantec.cr
2021026956  , Anthony Triplett Little  , 66415217  , CTLSJ  , Arquitectura y Urbanismo   , 0  , ATriplett@estudiantec.cr
2021024939  , Myron Joseph Braswell  , 72754790  , CTLSJ  , Arquitectura y Urbanismo   , 0  , MJoseph@estudiantec.cr
2021025300  , Angel Krier Jones  , 87106312  , CTLSJ  , Administración de Empresas   , 0  , AKrier@estudiantec.cr
2021026608  , Paul Rife Nalevanko  , 92906153  , CTLSJ  , Administración de Empresas   , 0  , PRife@estudiantec.cr
2021027215  , Cherise Coles Gary  , 61353702  , CTLSJ  , Administración de Empresas   , 0  , CColes@estudiantec.cr
2021024755  , Florence Veach Robinette  , 87095390  , CTLSJ  , Administración de Empresas   , 0  , FVeach@estudiantec.cr
2021024359  , Kenneth Buck Cabral  , 68911595  , CTLSJ  , Administración de Empresas   , 0  , KBuck@estudiantec.cr
2021028884  , Johnny Munoz Palazzola  , 66699345  , CTLSJ  , Administración de Empresas   , 0  , JMunoz@estudiantec.cr
2021032160  , Thomas Barbour Thompson  , 65468376  , CAA  , Ingeniería en Computación   , 2021036466  , TBarbour@estudiantec.cr
2021038571  , Carmen Womack Goodrich  , 95384147  , CAA  , Ingeniería en Computación   , 0  , CWomack@estudiantec.cr
2021030281  , Sergio Trower Sanderson  , 65388873  , CAA  , Ingeniería en Computación   , 0  , STrower@estudiantec.cr
2021030160  , Loretta Fincher Fields  , 83431591  , CAA  , Ingeniería en Computación   , 0  , LFincher@estudiantec.cr
2021031918  , Norma Williams Browning  , 68788175  , CAA  , Ingeniería en Computación   , 0  , NWilliams@estudiantec.cr
2021033016  , Bao Walker Russell  , 85896602  , CAA  , Ingeniería en Computación   , 0  , BWalker@estudiantec.cr
2021035421  , Matthew Russell Colbeth  , 87553252  , CAA  , Ingeniería en Computación   , 0  , MRussell@estudiantec.cr
2021034018  , Venita Abron Kinsey  , 90144291  , CAA  , Ingeniería en Computación   , 0  , VAbron@estudiantec.cr
2021034538  , John Rich Erickson  , 70441066  , CAA  , Ingeniería en Computación   , 0  , JRich@estudiantec.cr
2021036089  , Son Hannon Ramirez  , 98271527  , CAA  , Ingeniería en Computación   , 0  , SHannon@estudiantec.cr
2021033147  , Richard Dixon Wirkkala  , 88484859  , CAA  , Ingeniería en Computación   , 0  , RDixon@estudiantec.cr
2021037701  , Edmund Walker Furches  , 60721583  , CAA  , Ingeniería en Computación   , 0  , EWalker@estudiantec.cr
2021034158  , Michael Chambers Goff  , 63568302  , CAA  , Ingeniería en Computación   , 0  , MChambers@estudiantec.cr
2021031021  , Gladys Wallen Jimenez  , 90825362  , CAA  , Ingeniería en Computación   , 0  , GWallen@estudiantec.cr
2021035341  , David Childress Utley  , 90030338  , CAA  , Ingeniería en Computación   , 0  , DChildress@estudiantec.cr
2021036528  , Richard Edwards Richards  , 89248429  , CAA  , Ingeniería en Computación   , 0  , REdwards@estudiantec.cr
2021033605  , Carol Rice Blackwell  , 81996951  , CAA  , Ingeniería en Computación   , 0  , CRice@estudiantec.cr
2021036997  , Jeffrey Murrietta Juariqui  , 82998565  , CAA  , Ingeniería en Electrónica   , 0  , JMurrietta@estudiantec.cr
2021047408  , Rhonda Burt Walker  , 99220683  , CAL  , Administración de Empresas   , 2021042929  , RBurt@estudiantec.cr
2021048841  , Jose Flores Mckamey  , 81079756  , CAL  , Administración de Empresas   , 0  , JFlores@estudiantec.cr
2021041613  , Peter Wontor Martinez  , 75583585  , CAL  , Administración de Empresas   , 0  , PWontor@estudiantec.cr
2021041335  , Norma Jackson Gurke  , 95646523  , CAL  , Administración de Empresas   , 0  , NJackson@estudiantec.cr
2021044295  , Lynne Gibson Mojica  , 89294481  , CAL  , Administración de Empresas   , 0  , LGibson@estudiantec.cr
2021048646  , Ellis Doyle Morris  , 71683621  , CAL  , Administración de Empresas   , 0  , EDoyle@estudiantec.cr
2021048112  , Brian Schwartz Vance  , 95229299  , CAL  , Administración de Empresas   , 0  , BSchwartz@estudiantec.cr
2021049866  , Jason Leonard Hart  , 81483781  , CAL  , Administración de Empresas   , 0  , JLeonard@estudiantec.cr
